Track Name,artwork_url
,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79
Dil Bechara,https://i.scdn.co/image/ab67616d0000b273f3582107f127c2765fafb431
Kangna Tera Nee Slowed,https://i.scdn.co/image/ab67616d0000b273c66a97eb8e10877aa3aff92d
Mera Mann Kehne Laga,https://i.scdn.co/image/ab67616d0000b27338a1f0f963bd1fbc349dd1e6
"Haan Main Galat (From ""Love Aaj Kal"")",https://i.scdn.co/image/ab67616d0000b273f227137db875c5581f064a8a
Chaand Baaliyan,https://i.scdn.co/image/ab67616d0000b273ec4ecaa0fcf68c0966f21514
Jashn-E-Bahaaraa,https://i.scdn.co/image/ab67616d0000b27346131d4d7919c5cacd15c7d3
Ishq Wala Love,https://i.scdn.co/image/ab67616d0000b273ad40f4e70b2f2a2a6052d49d
I Love You,https://i.scdn.co/image/ab67616d0000b273f2d53fab17cc749c99c24154
Pasoori,https://i.scdn.co/image/ab67616d0000b2733f3d35703bdcd917dad51c4f
Main Teri Hoon,https://i.scdn.co/image/ab67616d0000b273858444ee5b909cb2b9f91b03
,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79
Pasoori Lo-fi - Slowed + Reverb,https://i.scdn.co/image/ab67616d0000b273dbfeb7c6de59f1cd88074053
Bandook Meri Laila,https://i.scdn.co/image/ab67616d0000b27310f6e20e16cfb965735480bc
Masakali,https://i.scdn.co/image/ab67616d0000b273f7c6e0a439f01c38bac5730c
Palat - Tera Hero Idhar Hai,https://i.scdn.co/image/ab67616d0000b273614a583a490e23b29821b2ed
Ullu Ka Pattha,https://i.scdn.co/image/ab67616d0000b27378b9e75e320b05a0f56d9d04
Tu Hi Junoon,https://i.scdn.co/image/ab67616d0000b273d9cc24c0d415e40d5af3c8d5
Mast Magan,https://i.scdn.co/image/ab67616d0000b273c7b8d39b1e113845906984ab
,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79
Ek Main Aur Ekk Tu,https://i.scdn.co/image/ab67616d0000b273dbde461b6d5675fac8ea50e9
Choomantar,https://i.scdn.co/image/ab67616d0000b273a2011a6b7f81c63c1557076d
Haareya,https://i.scdn.co/image/ab67616d0000b273d2f3f606e8d06c7a6a340a48
"Humraah (From ""Malang - Unleash The Madness"")",https://i.scdn.co/image/ab67616d0000b27340494b35d483ac255db4ce93
"Malang (Title Track) [From ""Malang - Unleash The Madness""]",https://i.scdn.co/image/ab67616d0000b27399655481a2151203ed89351d
"Afeemi (From ""Meri Pyaari Bindu "")",https://i.scdn.co/image/ab67616d0000b273f2607ce870ebc75e030e0224
Kasoor,https://i.scdn.co/image/ab67616d0000b273ae7abe97f7020d657e87bbec
Bin Tere,https://i.scdn.co/image/ab67616d0000b2731992dd7b33baf5887ea4a1ec
Kaara Fankaara,https://i.scdn.co/image/ab67616d0000b273007759a309e7364ffc5f664a
The Humma Song,https://i.scdn.co/image/ab67616d0000b273007759a309e7364ffc5f664a
Nainowale Ne,https://i.scdn.co/image/ab67616d0000b273b07fa198edaf969b74dd160a
Tere Rang,https://i.scdn.co/image/ab67616d0000b27333f7475be62b9f31fa66f1bc
Tera Rastaa Chhodoon Na,https://i.scdn.co/image/ab67616d0000b273dfd1ddf5b8431d6fc5210d6c
Aaj Jane Ki Zid Na Karo,https://i.scdn.co/image/ab67616d0000b273be29198a11ca7380b2a58c97
Sab Tera,https://i.scdn.co/image/ab67616d0000b2733f334dbf565ef4b341d36fd4
Leja Re,https://i.scdn.co/image/ab67616d0000b273f7d2a56220308f87f643ef4d
Pareshaan,https://i.scdn.co/image/ab67616d0000b273689f566242484e89e9cad22a
Mannat,https://i.scdn.co/image/ab67616d0000b273c60cc14ac9fd0dc9a30d30f3
"Ranjha (From ""Shershaah"")",https://i.scdn.co/image/ab67616d0000b27309426d9ae9d8d981735ebc5e
Main Agar Kahoon,https://i.scdn.co/image/ab67616d0000b273675b3f7dea80153c73581e5e
"Love Me Thoda Aur (From ""Yaariyan"")",https://i.scdn.co/image/ab67616d0000b2730ece3e23fc94cbc474c5264d
"Kinna Sona (From ""Marjaavaan"")",https://i.scdn.co/image/ab67616d0000b273bcfad9cdf2dadb5f5bb78ce4
,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79
"Chashni (From ""Bharat"")",https://i.scdn.co/image/ab67616d0000b273201f237131d85ec662121610
"Ghungroo (From ""War"")",https://i.scdn.co/image/ab67616d0000b273281650a8e8c5d04658d31ac1
"Aabaad Barbaad (From ""Ludo"")",https://i.scdn.co/image/ab67616d0000b273f338d36ff740be4cdc5ec709
Dil Diyan Gallan,https://i.scdn.co/image/ab67616d0000b273576521b1bf3ec2fd7fdfcbd5
Mere Naam Tu,https://i.scdn.co/image/ab67616d0000b273166b3c71f1338a5b72966ad8
,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79
Chidiya,https://i.scdn.co/image/ab67616d0000b273f04b86bf08ea4715e12f7e94
Lahu Munh Lag Gaya,https://i.scdn.co/image/ab67616d0000b273d69bb008711215f1254e3215
Kill Dil,https://i.scdn.co/image/ab67616d0000b27383a95850378de67fec5bbf3a
Tu Hai Ki Nahi,https://i.scdn.co/image/ab67616d0000b273f6371011af4c82fb31d54820
Hosanna,https://i.scdn.co/image/ab67616d0000b2739491cd8e7a5af41b96625cdc
Jab Se Tere Naina,https://i.scdn.co/image/ab67616d0000b273bd848c36d02a36a7610d9641
Dil Dooba,https://i.scdn.co/image/ab67616d0000b27318463e8c010147732c5ba7ca
Rehna Tu,https://i.scdn.co/image/ab67616d0000b273f7c6e0a439f01c38bac5730c
Akhiyaan,https://i.scdn.co/image/ab67616d0000b27352e3a807b72281cb40c08092
Jiyein Kyun,https://i.scdn.co/image/ab67616d0000b273e39388ba8eadf58476135087
Main Tumhara,https://i.scdn.co/image/ab67616d0000b273f3582107f127c2765fafb431
Dooriyan,https://i.scdn.co/image/ab67616d0000b273a13579fc87b866aa27570277
Saware,https://i.scdn.co/image/ab67616d0000b2737037561f1e7a2c5ff3cd0a38
Roke Na Ruke Naina,https://i.scdn.co/image/ab67616d0000b2737569cbe3695608074d9fd389
Aaya Na Tu,https://i.scdn.co/image/ab67616d0000b2735657e07918833e85d5a38bae
"Bolna (From ""Kapoor & Sons (Since 1921)"")",https://i.scdn.co/image/ab67616d0000b273f03c4d5b0c0669c7e14dfb24
Gumshudaa king,https://i.scdn.co/image/ab67616d0000b273e9ed5cf8685222390d82880e
Kehendi Si,https://i.scdn.co/image/ab67616d0000b273efc4c0d78a405d1250eb8240
Mehrama,https://i.scdn.co/image/ab67616d0000b273095191f6b96fd9eff585befc
Humsafar,https://i.scdn.co/image/ab67616d0000b273dfc5ea836092ec71ca7a5dcb
Beqaaboo,https://i.scdn.co/image/ab67616d0000b2738034ba22ea88a38034910fbd
Bekhayali,https://i.scdn.co/image/ab67616d0000b273c5545f737b16ad5ee767b62a
Khamoshiyan,https://i.scdn.co/image/ab67616d0000b2738d07544fddf5b7d9a1e41554
Ye Jawaani Teri,https://i.scdn.co/image/ab67616d0000b273d2f3f606e8d06c7a6a340a48
Darling,https://i.scdn.co/image/ab67616d0000b2730f9c8e314dbaab6bbcd7965c
La La La,https://i.scdn.co/image/ab67616d0000b2739213b0453a98f037f2230f3e
Ek Dafaa (Chinnamma),https://i.scdn.co/image/ab67616d0000b2737ec3b180d978fcc874bf6ad3
Why This Kolaveri Di? - The Soup of Love,https://i.scdn.co/image/ab67616d0000b2732fb9cbc9a24d3bfd090678c3
Rangisari,https://i.scdn.co/image/ab67616d0000b2731dbc540a4e3f7a7d49e08bd3
,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79
Yaaram,https://i.scdn.co/image/ab67616d0000b27316e91f88b00f03843fab1754
"Kesariya (From ""Brahmastra"")",https://i.scdn.co/image/ab67616d0000b273c08202c50371e234d20caf62
Radha,https://i.scdn.co/image/ab67616d0000b273ad40f4e70b2f2a2a6052d49d
Jhoom (Lofi),https://i.scdn.co/image/ab67616d0000b2739fc72de61fb7feb882e50057
,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79
Tum Hi Ho,https://i.scdn.co/image/ab67616d0000b2736404721c1943d5069f0805f3
Chahun Main Ya Naa,https://i.scdn.co/image/ab67616d0000b2736404721c1943d5069f0805f3
Haaye Oye (feat. Ash King),https://i.scdn.co/image/ab67616d0000b27365d44c21dd261a89fd24d50f
Sadi Gali,https://i.scdn.co/image/ab67616d0000b27388cd0451da5de305f16ae6f9
,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79
Titli,https://i.scdn.co/image/ab67616d0000b273dfd1ddf5b8431d6fc5210d6c
Baarishein,https://i.scdn.co/image/ab67616d0000b273d8ca783fa570b57e082f4374
Alag Aasmaan,https://i.scdn.co/image/ab67616d0000b2735d7a296e99b415bc012c03e3
Saiyaara,https://i.scdn.co/image/ab67616d0000b273a7e251b543c77a6ed356dfbe
Banke Tera Jogi,https://i.scdn.co/image/ab67616d0000b273ea07c69b16f11f7e0c09c9e1
Chor Bazari,https://i.scdn.co/image/ab67616d0000b27305a620c7e43a19d28d6da45a
Haawa Haawa,https://i.scdn.co/image/ab67616d0000b27354e544672baa16145d67612b
Alag Aasmaan (Acoustic),https://i.scdn.co/image/ab67616d0000b273500e41ab4ec4fe40f22a0b1b
Patakha Guddi,https://i.scdn.co/image/ab67616d0000b2731f4e9ecaf6913e207810093f
Patha Patha Gugu - Drill Remix,https://i.scdn.co/image/ab67616d0000b273ea700b10028a6342aeb112af
Maahi Ve,https://i.scdn.co/image/ab67616d0000b273a2055e0b847ff66fb5206099
Jadoo Ki Jhappi,https://i.scdn.co/image/ab67616d0000b273cab73e6ac9bf4bf3c6931570
Aapka Kya Hoga (Dhanno),https://i.scdn.co/image/ab67616d0000b2731111adc2ded1cffe91281507
,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79
Guzarish,https://i.scdn.co/image/ab67616d0000b2735b7ba7da308af447f48b9943
Bol Na Halke Halke,https://i.scdn.co/image/ab67616d0000b2737b4cb0b50580de81cce0a14b
O Re Piya,https://i.scdn.co/image/ab67616d0000b273108d10d84153ff78d2197f62
Aankhon Se Batana,https://i.scdn.co/image/ab67616d0000b27379b28ed7035877041d7b9770
Maula Mere Maula,https://i.scdn.co/image/ab67616d0000b27336163aa83c42e72684a53287
Laapata,https://i.scdn.co/image/ab67616d0000b273c52900b39ef7ae005e6ec58d
Tumse Milke Dil Ka,https://i.scdn.co/image/ab67616d0000b273e7fa423de639247fed12be4a
Jalebi Baby,https://i.scdn.co/image/ab67616d0000b27358ad3c6d598cb14b31c334dc
