Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3hwaOfrkbXJgeh7XGt54xw,Dekha Ek Khwab - II,Remembering Lata Mangeshkar,Lata Mangeshkar;Kishore Kumar,2/18/2022,320733,51,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,4/6/2025,"ghazal,bollywood,bhajan,hindi pop,marathi pop,bangla pop",Saregama,0.367,0.299,4,-14.557,1,0.0597,0.941,0.00402,0.423,0.383,147.363,3
spotify:track:2BOY77LvMTUOfLcnfFAJGl,Dhan Te Nan,Kaminey,Sukhwinder Singh;Vishal Dadlani;Robert Bob Omulo,7/6/2009,279933,60,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,4/6/2025,"bollywood,desi,hindi pop,bangla pop",T-Series,0.766,0.809,4,-6.206,1,0.161,0.0227,0.000166,0.0796,0.803,91.987,4
spotify:track:75ITpH10KTlnZgvG8pPO36,Dhichkyaaon Doom Doom 1,Chashme Baddoor,Ali Zafar;Shreya Ghoshal,2/19/2013,274442,50,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,4/6/2025,"qawwali,sufi,bollywood,desi pop,desi,ghazal,hindi pop,kannada pop,marathi pop",T-Series,0.681,0.622,3,-6.228,1,0.03,0.149,0.00000149,0.134,0.895,127.951,4
spotify:track:0qukxG69SSFA0n1qyR6szS,Bin Tere Sanam,Yaara Dildara (Original Mostion Picture Soundtrack),Udit Narayan;Kavita Krishnamurthy,1/23/1993,390560,57,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,4/8/2025,"bollywood,hindi pop,desi,gujarati garba",Ishtar Music Pvt. Ltd.,0.627,0.838,2,-8.168,1,0.0406,0.22,0.00000899,0.122,0.728,138.856,4
spotify:track:0F3dykjHWHu6rdpujjJdGP,Parda Hata Do - Trap Mix,Bollywood Trap Mix,Farooq Got Audio;Asha Bhosle;Mohammed Rafi,5/16/2022,182399,41,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,4/8/2025,"desi,ghazal,marathi pop,bangla pop,bollywood,hindi pop",Saregama India Ltd,0.888,0.798,1,-2.057,1,0.0908,0.00367,0.00417,0.163,0.514,99.987,4
spotify:track:6vwGvxyf8MheLLPUjktu14,Gela Gela Gela,Aitraaz (Original Motion Picture Soundtrack),Adnan Sami;Sunidhi Chauhan,11/12/2004,276320,59,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,4/8/2025,"sufi,qawwali,desi pop,ghazal,bollywood,telugu pop,desi,hindi pop",Tips Industries Ltd,0.82,0.503,1,-9.416,1,0.098,0.0725,0.00291,0.0642,0.622,91.07,4
spotify:track:7z1EzO7ObutdtN2sCHGXMY,Koi Shahari Babu,Loafer,Asha Bhosle;Laxmikant–Pyarelal,3/12/1973,267026,33,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,4/9/2025,"ghazal,marathi pop,bangla pop,bollywood,hindi pop,bhajan",Saregama,0.383,0.646,7,-10.757,1,0.0614,0.68,0.0000806,0.108,0.915,74.274,4
spotify:track:13PBNcIOjxbNPeJHpygaCU,Ho Gaya Hai Tujhko To Pyar Sajna,Remembering Lata Mangeshkar,Lata Mangeshkar;Udit Narayan,2/18/2022,347680,59,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,4/9/2025,"ghazal,bollywood,bhajan,hindi pop,marathi pop,desi",Saregama,0.404,0.662,7,-8.606,0,0.059,0.547,0.0000299,0.346,0.507,100.195,4
spotify:track:0wKxAMVJ4tQpKLDJkZxQvT,Meri Gajina,Meri Gajina,Sagar Bisht,8/16/2023,84610,,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,4/9/2025,,LM TAPE,0.527,0.138,11,-17.767,0,0.149,0.995,0.153,0.0987,0.949,128.488,3
spotify:track:6oUK2k9OJ0WvmVveyauFB7,Mere Haath Mein,Fanaa,Jatin-Lalit;Sonu Nigam;Sunidhi Chauhan;Aamir Khan;Kajol;Prasoon Joshi,4/12/2006,285857,64,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,4/16/2025,"bollywood,hindi pop,desi,kannada pop,sandalwood,marathi pop,sufi",YRF Music,0.554,0.606,1,-12.312,1,0.0722,0.578,0.000183,0.11,0.584,93.922,4
spotify:track:0uGfShhwvtlmYXtEfF8Fww,The Making Of Main Yahaan Hoon,The Making Of The Music Of Veer - Zaara,Madan Mohan;Udit Narayan;Javed Akhtar,9/18/2004,116401,46,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,4/19/2025,"bollywood,qawwali,hindi pop,desi",YRF Music,0.438,0.682,4,-9.125,0,0.0346,0.939,0.615,0.282,0.776,85.033,4
spotify:track:4BsLcWv5zyE69A1K5tY9CO,Magic | Coke Studio Bharat,Magic | Coke Studio Bharat,Diljit Dosanjh;thiarajxtt,2/8/2024,234499,59,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,4/17/2025,"bhangra,punjabi pop,punjabi hip hop,desi,bollywood",Universal Music India Pvt Ltd.,0.957,0.514,10,-9.951,0,0.0493,0.211,0,0.101,0.924,126.044,4
spotify:track:6jH1BP71GXeMKRXIpKMdvJ,Taash,Taash,Abhijay Sharma,3/14/2022,102903,30,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,4/19/2025,"punjabi pop,punjabi hip hop,desi hip hop,desi pop,hindi hip hop",Universal Music India Pvt Ltd.,0.826,0.284,1,-14.713,0,0.117,0.654,0.000581,0.0921,0.907,140.056,4
spotify:track:4LMlVCXHJtCE9abhmn0mYo,Pal Pal,Pal Pal,Afusic;AliSoomroMusic,2/17/2025,147000,70,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,4/20/2025,"desi,indian indie",Afusic,0.752,0.596,5,-9.177,0,0.0505,0.67,0.00166,0.106,0.249,105.088,4
spotify:track:0S7MLlU27WnE3bwCcDu6Pj,Jhol - Acoustic,Jhol (Acoustic),Maanu;Annural Khalid;Abdullah Siddiqui,2/2/2025,277600,21,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,4/20/2025,"indian indie,desi,hindi indie",Yain,0.542,0.256,0,-13.598,0,0.0484,0.854,0,0.0758,0.517,149.537,4
